Id,Type,Title,Message,TargetSpecialty
1,Welcome,Welcome to Salamaty! ,Your journey to better healthcare starts here. Find the nearest specialized hospital now.,General
2,Awareness,Kidney Safety ,Drinking enough water regularly is your first line of defense against kidney stones.,Nephrology
3,Awareness,Bone Health ,Persistent back pain may require consulting an orthopedic specialist. Don't ignore your body's signals.,Orthopedics
4,Proximity,Eye Specialist Nearby ,International Eye Hospital in Cairo is now available for fundus examinations.,Ophthalmology
5,Update,OB-GYN Section ,5 new centers specializing in maternal and child care have been added in Giza.,Obstetrics & Gynecology
6,Awareness,Heart Health ,Brisk walking for 20 minutes improves heart muscle efficiency amazingly.,Cardiology
7,Awareness,Child Vaccinations ,Make sure to review your child's periodic vaccination schedule at the nearest pediatric center.,Pediatrics
8,Emergency,Important Alert ,"In cases of sudden, severe headaches, please head to the nearest neurology emergency immediately.",Neurology
9,Awareness,Healthy Smile ,Visiting a dentist every 6 months prevents worsening of decay and gum problems.,Dentistry
10,Update,New Kidney Centers ,You can now find accredited dialysis centers in Fayoum and Minya governorates.,Nephrology
11,Awareness,Safe Pregnancy ,Regular follow-ups with a gynecologist ensure a healthy and safe pregnancy journey for you and your baby.,Obstetrics & Gynecology
12,Proximity,Orthopedic Clinic Available ,Al Salam International Hospital now offers specialized consultations in joint and spinal surgery.,Orthopedics
13,Awareness,Nutrition & Heart ,Reducing salt in food protects arteries and reduces the risk of high blood pressure.,Cardiology
14,Awareness,Protect Your Child's Vision ,Limit children's screen time to protect their eyes from early nearsightedness.,Ophthalmology
15,Update,Dental Services ,"Online booking is now active for ""Misr Center for Dentistry"" via the app.",Dentistry
16,Awareness,Stroke Prevention ,Maintaining sugar and pressure levels protects the brain from stroke risks.,Neurology
17,Proximity,Pediatric Emergency ,Tabarak Children's Hospital is equipped to receive critical emergency cases 24/7.,Pediatrics
18,Awareness,Osteoporosis ,Calcium and Vitamin D rich foods are essential for building strong bones at all ages.,Orthopedics
19,Emergency,Dust Storm Alert ,"For allergy and respiratory patients, please stay home and use preventive medications.",General
20,Awareness,Kidney Screenings ,"Periodic kidney function tests are vital, especially for diabetes and blood pressure patients.",Nephrology
21,Awareness,Back Exercises ,Correct posture at the computer avoids chronic neck and back pain.,Orthopedics
22,Update,Eye Care Discounts ,15% discount on vision correction surgeries at selected eye centers for Salamaty users.,Ophthalmology
23,Awareness,Heartbeats ,"If you feel an irregular heartbeat, consult a cardiologist as soon as possible.",Cardiology
24,Proximity,Specialty Complex Nearby ,Cairo Specialized Hospital includes top doctors in all medical specialties.,Multidisciplinary
25,Awareness,Newborn Health ,Breastfeeding enhances your baby's immunity and protects them from infections in early months.,Pediatrics
26,Update,Neurology Clinics ,Nile Neurology Center has joined the Salamaty provider network.,Neurology
27,Awareness,Gestational Diabetes ,Testing blood sugar in the 24th week of pregnancy is very important for mother and baby.,Obstetrics & Gynecology
28,Awareness,Oral Hygiene ,Drinking plenty of water and flossing prevents bacteria that causes bad breath.,Dentistry
29,Proximity,Kidney Unit Nearby ,Cairo Center for Kidney Diseases provides the latest care technologies for kidney patients.,Nephrology
30,Awareness,Walking & Bone Health ,Walking in mild sunlight helps the body produce Vitamin D essential for bones.,Orthopedics
31,Update,Emergency Services ,"You can now press the ""Emergency"" button to reach the nearest general hospital in your area.",General
32,Awareness,Triglycerides ,Avoiding fried foods preserves heart valves and body arteries.,Cardiology
33,Awareness,Dry Eye ,Using moisturizing drops is necessary if you spend long hours in air-conditioned environments.,Ophthalmology
34,Proximity,Excellent Dentist ,Al Meswak Dental Clinics are now available in your area at competitive prices.,Dentistry
35,Awareness,Child Growth ,Monitor your child's height and weight monthly to ensure healthy and normal growth.,Pediatrics
36,Update,Salamaty App ,We improved the search engine to help you reach the required specialty faster.,General
37,Awareness,Migraine ,Avoid noise and strong lighting when feeling the onset of a migraine attack.,Neurology
38,Awareness,Postpartum Care ,Caring for mental and physical health after birth is as important as during pregnancy.,Obstetrics & Gynecology
39,Proximity,Orthopedic Specialist ,You can now book an appointment at Cleopatra Orthopedic Center directly from the app.,Orthopedics
40,Awareness,Kidney Protein ,Moderate protein intake reduces the burden on kidneys and maintains their function.,Nephrology
41,Update,Lab Centers ,Addition of new labs specializing in genetic and hereditary tests.,General
42,Awareness,Good Cholesterol ,Eating Omega-3 found in fish raises good cholesterol levels in your blood.,Cardiology
43,Awareness,Pediatric Eye Exam ,"Early vision screening for preschoolers prevents ""lazy eye"" problems.",Ophthalmology
44,Proximity,Multidisciplinary Hospital ,Al Salam International Hospital offers all medical specialties around the clock.,Multidisciplinary
45,Awareness,Gum Health ,Bleeding gums may signal vitamin deficiency or early inflammation; consult your doctor.,Dentistry
46,Update,New Clinics ,Opening of a new Dar Al Fouad Hospital branch featuring precise and rare specialties.,Multidisciplinary
47,Awareness,Memory & Focus ,Eating nuts and antioxidant-rich foods improves brain function and memory.,Neurology
48,Awareness,Cotton Clothes for Kids ,Using cotton clothes protects your child's sensitive skin from allergies and irritation.,Pediatrics
49,Emergency,Low Blood Sugar ,"If you feel tremors and cold sweat, eat candy immediately and consult an internist.",General
50,Welcome,Complete Your Profile ,Adding your blood type and medical history helps us provide more accurate health recommendations.,General
